sample_size,seed,model,spearman
100,0,EvolvePro RF,0.22556390977443608
100,1,EvolvePro RF,-0.045112781954887216
100,2,EvolvePro RF,0.6571428571428571
100,3,EvolvePro RF,0.35939849624060144
100,4,EvolvePro RF,0.6646616541353383
100,5,EvolvePro RF,0.5295224142804531
100,6,EvolvePro RF,0.4676691729323308
100,7,EvolvePro RF,0.5654135338345864
100,8,EvolvePro RF,0.14887218045112782
100,9,EvolvePro RF,0.7383458646616541
200,0,EvolvePro RF,0.3384615384615385
200,1,EvolvePro RF,0.14352720450281425
200,2,EvolvePro RF,0.4337914541101282
200,3,EvolvePro RF,0.376360225140713
200,4,EvolvePro RF,0.6841784331369303
200,5,EvolvePro RF,0.19109714360344532
200,6,EvolvePro RF,0.37767354596622893
200,7,EvolvePro RF,0.4412757973733584
200,8,EvolvePro RF,0.35722326454033776
200,9,EvolvePro RF,0.22815329074304322
400,0,EvolvePro RF,0.49913560206906127
400,1,EvolvePro RF,0.49242255538491747
400,2,EvolvePro RF,0.5166610016881097
400,3,EvolvePro RF,0.4819971870604783
400,4,EvolvePro RF,0.301763392511343
400,5,EvolvePro RF,0.47646507266760435
400,6,EvolvePro RF,0.4832630098452884
400,7,EvolvePro RF,0.594520467920134
400,8,EvolvePro RF,0.6606930420474566
400,9,EvolvePro RF,0.41519473976995974
800,0,EvolvePro RF,0.6051647381720296
800,1,EvolvePro RF,0.6330960651326429
800,2,EvolvePro RF,0.6177890901141941
800,3,EvolvePro RF,0.6134197051560836
800,4,EvolvePro RF,0.6207876525809879
800,5,EvolvePro RF,0.5043500553139456
800,6,EvolvePro RF,0.5304472472015596
800,7,EvolvePro RF,0.6820980465585417
800,8,EvolvePro RF,0.6291566808725989
800,9,EvolvePro RF,0.6050092839484303
