sample_size,seed,model,spearman
100,0,GPR(ESM2 LLR only),0.4300751879699248
100,0,GPR(ESM2 LLR + s_mut PCA 5D),0.431578947368421
100,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4090225563909774
100,0,GPR(ESM2 LLR + z_pair PCA 10D),0.6781954887218045
100,1,GPR(ESM2 LLR only),0.5518796992481202
100,1,GPR(ESM2 LLR + s_mut PCA 5D),0.5533834586466165
100,1,GPR(ESM2 LLR + z_pair PCA 5D),0.5368421052631579
100,1,GPR(ESM2 LLR + z_pair PCA 10D),0.6766917293233082
100,2,GPR(ESM2 LLR only),0.7097744360902255
100,2,GPR(ESM2 LLR + s_mut PCA 5D),0.6195488721804511
100,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6481203007518795
100,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5924812030075187
100,3,GPR(ESM2 LLR only),0.6676691729323309
100,3,GPR(ESM2 LLR + s_mut PCA 5D),0.6451127819548872
100,3,GPR(ESM2 LLR + z_pair PCA 5D),0.7127819548872181
100,3,GPR(ESM2 LLR + z_pair PCA 10D),0.6796992481203006
100,4,GPR(ESM2 LLR only),0.6721804511278194
100,4,GPR(ESM2 LLR + s_mut PCA 5D),0.6631578947368421
100,4,GPR(ESM2 LLR + z_pair PCA 5D),0.6721804511278194
100,4,GPR(ESM2 LLR + z_pair PCA 10D),0.8225563909774435
100,5,GPR(ESM2 LLR only),0.7092892566285046
100,5,GPR(ESM2 LLR + s_mut PCA 5D),0.6002256911872181
100,5,GPR(ESM2 LLR + z_pair PCA 5D),0.6227905667957601
100,5,GPR(ESM2 LLR + z_pair PCA 10D),0.6438511173637327
100,6,GPR(ESM2 LLR only),0.78796992481203
100,6,GPR(ESM2 LLR + s_mut PCA 5D),0.7729323308270677
100,6,GPR(ESM2 LLR + z_pair PCA 5D),0.7593984962406014
100,6,GPR(ESM2 LLR + z_pair PCA 10D),0.6496240601503759
100,7,GPR(ESM2 LLR only),0.43458646616541347
100,7,GPR(ESM2 LLR + s_mut PCA 5D),0.6781954887218045
100,7,GPR(ESM2 LLR + z_pair PCA 5D),0.2601503759398496
100,7,GPR(ESM2 LLR + z_pair PCA 10D),0.1639097744360902
100,8,GPR(ESM2 LLR only),0.4631578947368421
100,8,GPR(ESM2 LLR + s_mut PCA 5D),0.5338345864661653
100,8,GPR(ESM2 LLR + z_pair PCA 5D),0.6390977443609022
100,8,GPR(ESM2 LLR + z_pair PCA 10D),0.5323308270676691
100,9,GPR(ESM2 LLR only),0.8345864661654135
100,9,GPR(ESM2 LLR + s_mut PCA 5D),0.8421052631578947
100,9,GPR(ESM2 LLR + z_pair PCA 5D),0.8421052631578947
100,9,GPR(ESM2 LLR + z_pair PCA 10D),0.819548872180451
200,0,GPR(ESM2 LLR only),0.6178236397748594
200,0,GPR(ESM2 LLR + s_mut PCA 5D),0.6189493433395873
200,0,GPR(ESM2 LLR + z_pair PCA 5D),0.5499061913696061
200,0,GPR(ESM2 LLR + z_pair PCA 10D),0.6452157598499063
200,1,GPR(ESM2 LLR only),0.32682926829268294
200,1,GPR(ESM2 LLR + s_mut PCA 5D),0.28311444652908074
200,1,GPR(ESM2 LLR + z_pair PCA 5D),0.42157598499061916
200,1,GPR(ESM2 LLR + z_pair PCA 10D),0.4440900562851783
200,2,GPR(ESM2 LLR only),0.6071579349050066
200,2,GPR(ESM2 LLR + s_mut PCA 5D),0.4352924626018587
200,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6142877252407265
200,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5940241106023642
200,3,GPR(ESM2 LLR only),0.7003752345215761
200,3,GPR(ESM2 LLR + s_mut PCA 5D),0.7003752345215761
200,3,GPR(ESM2 LLR + z_pair PCA 5D),0.7153846153846155
200,3,GPR(ESM2 LLR + z_pair PCA 10D),0.7455909943714824
200,4,GPR(ESM2 LLR only),0.25198180054926567
200,4,GPR(ESM2 LLR + s_mut PCA 5D),0.3396969842847695
200,4,GPR(ESM2 LLR + z_pair PCA 5D),0.34692058765122274
200,4,GPR(ESM2 LLR + z_pair PCA 10D),0.5265725415052227
200,5,GPR(ESM2 LLR only),0.7354003479172351
200,5,GPR(ESM2 LLR + s_mut PCA 5D),0.5433650740064582
200,5,GPR(ESM2 LLR + z_pair PCA 5D),0.7365261042860329
200,5,GPR(ESM2 LLR + z_pair PCA 10D),0.5290116803042849
200,6,GPR(ESM2 LLR only),0.2200750469043152
200,6,GPR(ESM2 LLR + s_mut PCA 5D),0.27035647279549724
200,6,GPR(ESM2 LLR + z_pair PCA 5D),0.2735459662288931
200,6,GPR(ESM2 LLR + z_pair PCA 10D),0.376360225140713
200,7,GPR(ESM2 LLR only),0.5373358348968106
200,7,GPR(ESM2 LLR + s_mut PCA 5D),0.4998123827392121
200,7,GPR(ESM2 LLR + z_pair PCA 5D),0.5050656660412759
200,7,GPR(ESM2 LLR + z_pair PCA 10D),0.5690431519699813
200,8,GPR(ESM2 LLR only),0.6257035647279551
200,8,GPR(ESM2 LLR + s_mut PCA 5D),0.5602251407129456
200,8,GPR(ESM2 LLR + z_pair PCA 5D),0.5842401500938087
200,8,GPR(ESM2 LLR + z_pair PCA 10D),0.6320825515947469
200,9,GPR(ESM2 LLR only),0.48323092130650314
200,9,GPR(ESM2 LLR + s_mut PCA 5D),0.44157793566098047
200,9,GPR(ESM2 LLR + z_pair PCA 5D),0.48135466069183996
200,9,GPR(ESM2 LLR + z_pair PCA 10D),0.5188798729851036
400,0,GPR(ESM2 LLR only),0.46264921853360386
400,0,GPR(ESM2 LLR + s_mut PCA 5D),0.4744167511611655
400,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4816015096279934
400,0,GPR(ESM2 LLR + z_pair PCA 10D),0.5147240666055721
400,1,GPR(ESM2 LLR only),0.6111651566893852
400,1,GPR(ESM2 LLR + s_mut PCA 5D),0.5856960349210891
400,1,GPR(ESM2 LLR + z_pair PCA 5D),0.633235270030251
400,1,GPR(ESM2 LLR + z_pair PCA 10D),0.6783600370840662
400,2,GPR(ESM2 LLR only),0.5520692929269604
400,2,GPR(ESM2 LLR + s_mut PCA 5D),0.5495024555283147
400,2,GPR(ESM2 LLR + z_pair PCA 5D),0.5594767871550151
400,2,GPR(ESM2 LLR + z_pair PCA 10D),0.6361185668342091
400,3,GPR(ESM2 LLR only),0.559845288326301
400,3,GPR(ESM2 LLR + s_mut PCA 5D),0.54943741209564
400,3,GPR(ESM2 LLR + z_pair PCA 5D),0.5447960618846696
400,3,GPR(ESM2 LLR + z_pair PCA 10D),0.6198781059540553
400,4,GPR(ESM2 LLR only),0.600537984234587
400,4,GPR(ESM2 LLR + s_mut PCA 5D),0.5197465966566842
400,4,GPR(ESM2 LLR + z_pair PCA 5D),0.622069070696303
400,4,GPR(ESM2 LLR + z_pair PCA 10D),0.5585541237523519
400,5,GPR(ESM2 LLR only),0.6321612751992499
400,5,GPR(ESM2 LLR + s_mut PCA 5D),0.6132442569151431
400,5,GPR(ESM2 LLR + z_pair PCA 5D),0.6041256446319738
400,5,GPR(ESM2 LLR + z_pair PCA 10D),0.6086263478668542
400,6,GPR(ESM2 LLR only),0.6304266291608065
400,6,GPR(ESM2 LLR + s_mut PCA 5D),0.6414439756211908
400,6,GPR(ESM2 LLR + z_pair PCA 5D),0.6187763713080169
400,6,GPR(ESM2 LLR + z_pair PCA 10D),0.5551804969526488
400,7,GPR(ESM2 LLR only),0.6578017408397328
400,7,GPR(ESM2 LLR + s_mut PCA 5D),0.6283353359277358
400,7,GPR(ESM2 LLR + z_pair PCA 5D),0.6568757877816389
400,7,GPR(ESM2 LLR + z_pair PCA 10D),0.7419814226527643
400,8,GPR(ESM2 LLR only),0.4634579433854981
400,8,GPR(ESM2 LLR + s_mut PCA 5D),0.4813202140273346
400,8,GPR(ESM2 LLR + z_pair PCA 5D),0.49886602711842987
400,8,GPR(ESM2 LLR + z_pair PCA 10D),0.5691547653330582
400,9,GPR(ESM2 LLR only),0.6346183148386537
400,9,GPR(ESM2 LLR + s_mut PCA 5D),0.6230851276228215
400,9,GPR(ESM2 LLR + z_pair PCA 5D),0.6520587442869853
400,9,GPR(ESM2 LLR + z_pair PCA 10D),0.6503592400732702
800,0,GPR(ESM2 LLR only),0.466308932145174
800,0,GPR(ESM2 LLR + s_mut PCA 5D),0.45654374490457117
800,0,GPR(ESM2 LLR + z_pair PCA 5D),0.5135835132195056
800,0,GPR(ESM2 LLR + z_pair PCA 10D),0.5575078117826971
800,1,GPR(ESM2 LLR only),0.5126385998151484
800,1,GPR(ESM2 LLR + s_mut PCA 5D),0.5004929457198602
800,1,GPR(ESM2 LLR + z_pair PCA 5D),0.5660935410691661
800,1,GPR(ESM2 LLR + z_pair PCA 10D),0.6050472364072201
800,2,GPR(ESM2 LLR only),0.511901265316282
800,2,GPR(ESM2 LLR + s_mut PCA 5D),0.5373803812454782
800,2,GPR(ESM2 LLR + z_pair PCA 5D),0.5460570214828512
800,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5573368002820698
