sample_size,seed,model,spearman
100,0,GPR(LLR only),0.8451127819548873
100,0,GPR(LLR + AF3 conf),0.7037593984962407
100,0,GPR(LLR + AF3 PAE 8D),0.7142857142857143
100,0,GPR(LLR + Protenix z 10D),0.6932330827067669
100,1,GPR(LLR only),0.706766917293233
100,1,GPR(LLR + AF3 conf),0.669172932330827
100,1,GPR(LLR + AF3 PAE 8D),0.6451127819548872
100,1,GPR(LLR + Protenix z 10D),0.5864661654135337
100,2,GPR(LLR only),0.4526315789473684
100,2,GPR(LLR + AF3 conf),0.3593984962406014
100,2,GPR(LLR + AF3 PAE 8D),0.3774436090225563
100,2,GPR(LLR + Protenix z 10D),0.2586466165413533
100,3,GPR(LLR only),0.6857142857142857
100,3,GPR(LLR + AF3 conf),0.706766917293233
100,3,GPR(LLR + AF3 PAE 8D),0.7744360902255639
100,3,GPR(LLR + Protenix z 10D),0.6586466165413534
100,4,GPR(LLR only),0.7954887218045112
100,4,GPR(LLR + AF3 conf),0.7654135338345864
100,4,GPR(LLR + AF3 PAE 8D),0.5864661654135337
100,4,GPR(LLR + Protenix z 10D),0.801503759398496
100,5,GPR(LLR only),0.2330827067669172
100,5,GPR(LLR + AF3 conf),0.4180451127819548
100,5,GPR(LLR + AF3 PAE 8D),0.5669172932330826
100,5,GPR(LLR + Protenix z 10D),0.3819548872180451
100,6,GPR(LLR only),0.7127819548872181
100,6,GPR(LLR + AF3 conf),0.724812030075188
100,6,GPR(LLR + AF3 PAE 8D),0.724812030075188
100,6,GPR(LLR + Protenix z 10D),0.706766917293233
100,7,GPR(LLR only),0.5729323308270676
100,7,GPR(LLR + AF3 conf),0.7353383458646616
100,7,GPR(LLR + AF3 PAE 8D),0.7548872180451127
100,7,GPR(LLR + Protenix z 10D),0.5744360902255639
100,8,GPR(LLR only),0.6195488721804511
100,8,GPR(LLR + AF3 conf),0.5924812030075187
100,8,GPR(LLR + AF3 PAE 8D),0.6270676691729322
100,8,GPR(LLR + Protenix z 10D),0.7684210526315788
100,9,GPR(LLR only),0.5849624060150376
100,9,GPR(LLR + AF3 conf),0.6
100,9,GPR(LLR + AF3 PAE 8D),0.6631578947368421
100,9,GPR(LLR + Protenix z 10D),0.5909774436090225
200,0,GPR(LLR only),0.7425891181988745
200,0,GPR(LLR + AF3 conf),0.6887429643527205
200,0,GPR(LLR + AF3 PAE 8D),0.6908067542213885
200,0,GPR(LLR + Protenix z 10D),0.7930581613508445
200,1,GPR(LLR only),0.7491557223264541
200,1,GPR(LLR + AF3 conf),0.7388367729831146
200,1,GPR(LLR + AF3 PAE 8D),0.6502814258911822
200,1,GPR(LLR + Protenix z 10D),0.7793621013133208
200,2,GPR(LLR only),0.6679174484052534
200,2,GPR(LLR + AF3 conf),0.677485928705441
200,2,GPR(LLR + AF3 PAE 8D),0.6675422138836774
200,2,GPR(LLR + Protenix z 10D),0.7874296435272046
200,3,GPR(LLR only),0.7943714821763602
200,3,GPR(LLR + AF3 conf),0.8090056285178236
200,3,GPR(LLR + AF3 PAE 8D),0.8114446529080677
200,3,GPR(LLR + Protenix z 10D),0.8234521575984992
200,4,GPR(LLR only),0.7560975609756098
200,4,GPR(LLR + AF3 conf),0.7677298311444654
200,4,GPR(LLR + AF3 PAE 8D),0.7414634146341464
200,4,GPR(LLR + Protenix z 10D),0.7660412757973735
200,5,GPR(LLR only),0.5823639774859288
200,5,GPR(LLR + AF3 conf),0.6397748592870545
200,5,GPR(LLR + AF3 PAE 8D),0.7339587242026268
200,5,GPR(LLR + Protenix z 10D),0.6848030018761727
200,6,GPR(LLR only),0.8067542213883677
200,6,GPR(LLR + AF3 conf),0.8099437148217637
200,6,GPR(LLR + AF3 PAE 8D),0.776360225140713
200,6,GPR(LLR + Protenix z 10D),0.85609756097561
200,7,GPR(LLR only),0.6874296435272046
200,7,GPR(LLR + AF3 conf),0.6894934333958725
200,7,GPR(LLR + AF3 PAE 8D),0.6787992495309569
200,7,GPR(LLR + Protenix z 10D),0.7005628517823641
200,8,GPR(LLR only),0.6557223264540338
200,8,GPR(LLR + AF3 conf),0.6429643527204504
200,8,GPR(LLR + AF3 PAE 8D),0.7429643527204504
200,8,GPR(LLR + Protenix z 10D),0.700187617260788
200,9,GPR(LLR only),0.6136960600375236
200,9,GPR(LLR + AF3 conf),0.5932457786116324
200,9,GPR(LLR + AF3 PAE 8D),0.6883677298311446
200,9,GPR(LLR + Protenix z 10D),0.602626641651032
400,0,GPR(LLR only),0.7816455696202532
400,0,GPR(LLR + AF3 conf),0.7503281762775436
400,0,GPR(LLR + AF3 PAE 8D),0.8060009376465074
400,0,GPR(LLR + Protenix z 10D),0.842850445382091
400,1,GPR(LLR only),0.7093061415846227
400,1,GPR(LLR + AF3 conf),0.6879746835443038
400,1,GPR(LLR + AF3 PAE 8D),0.7747773089545242
400,1,GPR(LLR + Protenix z 10D),0.764814814814815
400,2,GPR(LLR only),0.8064697609001408
400,2,GPR(LLR + AF3 conf),0.7870839193624005
400,2,GPR(LLR + AF3 PAE 8D),0.7964135021097047
400,2,GPR(LLR + Protenix z 10D),0.8181669010782936
400,3,GPR(LLR only),0.7248007501172059
400,3,GPR(LLR + AF3 conf),0.719338959212377
400,3,GPR(LLR + AF3 PAE 8D),0.7710267229254572
400,3,GPR(LLR + Protenix z 10D),0.8220112517580872
400,4,GPR(LLR only),0.6805672761368965
400,4,GPR(LLR + AF3 conf),0.6959915611814346
400,4,GPR(LLR + AF3 PAE 8D),0.728762306610408
400,4,GPR(LLR + Protenix z 10D),0.7386779184247539
400,5,GPR(LLR only),0.8064932020628224
400,5,GPR(LLR + AF3 conf),0.7934364744491327
400,5,GPR(LLR + AF3 PAE 8D),0.789451476793249
400,5,GPR(LLR + Protenix z 10D),0.8359353023909988
400,6,GPR(LLR only),0.796390060947023
400,6,GPR(LLR + AF3 conf),0.792709798406001
400,6,GPR(LLR + AF3 PAE 8D),0.8009142053445852
400,6,GPR(LLR + Protenix z 10D),0.7993436474449134
400,7,GPR(LLR only),0.726277543366151
400,7,GPR(LLR + AF3 conf),0.742639474917956
400,7,GPR(LLR + AF3 PAE 8D),0.7778949835911863
400,7,GPR(LLR + Protenix z 10D),0.7531411157993437
400,8,GPR(LLR only),0.7232770745428975
400,8,GPR(LLR + AF3 conf),0.7239099859353025
400,8,GPR(LLR + AF3 PAE 8D),0.7277777777777779
400,8,GPR(LLR + Protenix z 10D),0.7894983591186123
400,9,GPR(LLR only),0.7670651664322551
400,9,GPR(LLR + AF3 conf),0.7695733708391936
400,9,GPR(LLR + AF3 PAE 8D),0.7545710267229255
400,9,GPR(LLR + Protenix z 10D),0.750070323488045
800,0,GPR(LLR only),0.7936159615609985
800,0,GPR(LLR + AF3 conf),0.799147427633892
800,0,GPR(LLR + AF3 PAE 8D),0.8285304113441931
800,0,GPR(LLR + Protenix z 10D),0.8352250087894058
800,1,GPR(LLR only),0.7455408414391188
800,1,GPR(LLR + AF3 conf),0.7462176256885035
800,1,GPR(LLR + AF3 PAE 8D),0.7813107933903669
800,1,GPR(LLR + Protenix z 10D),0.8154693542716512
800,2,GPR(LLR only),0.7284688855033399
800,2,GPR(LLR + AF3 conf),0.6993700925817414
800,2,GPR(LLR + AF3 PAE 8D),0.7363236845189265
800,2,GPR(LLR + Protenix z 10D),0.7690114848236259
800,3,GPR(LLR only),0.8022412984882221
800,3,GPR(LLR + AF3 conf),0.787715340442986
800,3,GPR(LLR + AF3 PAE 8D),0.8121703972811438
800,3,GPR(LLR + Protenix z 10D),0.830777569436306
800,4,GPR(LLR only),0.7001259814836518
800,4,GPR(LLR + AF3 conf),0.7135122465721316
800,4,GPR(LLR + AF3 PAE 8D),0.764818938239775
800,4,GPR(LLR + Protenix z 10D),0.7389224188444862
800,5,GPR(LLR only),0.7674440407828431
800,5,GPR(LLR + AF3 conf),0.7520420719559358
