sample_size,seed,model,spearman
100,0,EvolvePro RF,0.6030075187969924
100,1,EvolvePro RF,0.08120300751879699
100,2,EvolvePro RF,0.193984962406015
100,3,EvolvePro RF,0.05263157894736842
100,4,EvolvePro RF,0.4300751879699248
100,5,EvolvePro RF,0.41503759398496237
100,6,EvolvePro RF,0.10526315789473684
100,7,EvolvePro RF,0.4496240601503759
100,8,EvolvePro RF,-0.07969924812030074
100,9,EvolvePro RF,0.393984962406015
200,0,EvolvePro RF,0.18142589118198876
200,1,EvolvePro RF,0.42007504690431524
200,2,EvolvePro RF,0.3596622889305817
200,3,EvolvePro RF,0.5410881801125704
200,4,EvolvePro RF,0.33733583489681057
200,5,EvolvePro RF,0.3249530956848031
200,6,EvolvePro RF,0.326641651031895
200,7,EvolvePro RF,0.07467166979362101
200,8,EvolvePro RF,0.526454033771107
200,9,EvolvePro RF,0.4097560975609757
400,0,EvolvePro RF,0.5249413970932959
400,1,EvolvePro RF,0.5866385372714487
400,2,EvolvePro RF,0.4373652133145804
400,3,EvolvePro RF,0.676910454758556
400,4,EvolvePro RF,0.41322081575246133
400,5,EvolvePro RF,0.5093295827473042
400,6,EvolvePro RF,0.5000000000000001
400,7,EvolvePro RF,0.619409282700422
400,8,EvolvePro RF,0.4845757149554618
400,9,EvolvePro RF,0.46877637130801686
800,0,EvolvePro RF,0.6226004922067269
800,1,EvolvePro RF,0.53374838860893
800,2,EvolvePro RF,0.5854652525489277
800,3,EvolvePro RF,0.6059943747802649
800,4,EvolvePro RF,0.5062199695300598
800,5,EvolvePro RF,0.6819114027891714
800,6,EvolvePro RF,0.5838480018750731
800,7,EvolvePro RF,0.5602689558185866
800,8,EvolvePro RF,0.6207195593577874
800,9,EvolvePro RF,0.6333880229696472
