sample_size,seed,model,spearman
100,0,GPR(LLR only),0.5819548872180451
100,0,GPR(LLR + s_mut PCA 5D),0.7007518796992479
100,0,GPR(LLR + z_pair PCA 5D),0.5458646616541353
100,0,GPR(LLR + z_pair PCA 10D),0.5203007518796992
100,1,GPR(LLR only),0.6270676691729322
100,1,GPR(LLR + s_mut PCA 5D),0.49323308270676686
100,1,GPR(LLR + z_pair PCA 5D),0.6330827067669172
100,1,GPR(LLR + z_pair PCA 10D),0.4015037593984962
100,2,GPR(LLR only),0.7428571428571428
100,2,GPR(LLR + s_mut PCA 5D),0.801503759398496
100,2,GPR(LLR + z_pair PCA 5D),0.6045112781954887
100,2,GPR(LLR + z_pair PCA 10D),0.7097744360902255
100,3,GPR(LLR only),0.6796992481203006
100,3,GPR(LLR + s_mut PCA 5D),0.5789473684210527
100,3,GPR(LLR + z_pair PCA 5D),0.23609022556390977
100,3,GPR(LLR + z_pair PCA 10D),0.5428571428571428
100,4,GPR(LLR only),0.6766917293233082
100,4,GPR(LLR + s_mut PCA 5D),0.732330827067669
100,4,GPR(LLR + z_pair PCA 5D),0.5774436090225563
100,4,GPR(LLR + z_pair PCA 10D),0.5233082706766917
100,5,GPR(LLR only),0.5203007518796992
100,5,GPR(LLR + s_mut PCA 5D),0.26315789473684204
100,5,GPR(LLR + z_pair PCA 5D),0.42556390977443603
100,5,GPR(LLR + z_pair PCA 10D),0.42255639097744363
100,6,GPR(LLR only),0.6225563909774435
100,6,GPR(LLR + s_mut PCA 5D),0.593984962406015
100,6,GPR(LLR + z_pair PCA 5D),0.5578947368421052
100,6,GPR(LLR + z_pair PCA 10D),0.5894736842105263
100,7,GPR(LLR only),0.6360902255639098
100,7,GPR(LLR + s_mut PCA 5D),0.6932330827067669
100,7,GPR(LLR + z_pair PCA 5D),0.42556390977443603
100,7,GPR(LLR + z_pair PCA 10D),0.33684210526315783
100,8,GPR(LLR only),0.4812030075187969
100,8,GPR(LLR + s_mut PCA 5D),0.3578947368421052
100,8,GPR(LLR + z_pair PCA 5D),0.6541353383458646
100,8,GPR(LLR + z_pair PCA 10D),0.41503759398496237
100,9,GPR(LLR only),0.437593984962406
100,9,GPR(LLR + s_mut PCA 5D),0.3293233082706767
100,9,GPR(LLR + z_pair PCA 5D),0.6436090225563909
100,9,GPR(LLR + z_pair PCA 10D),0.5894736842105263
200,0,GPR(LLR only),0.550093808630394
200,0,GPR(LLR + s_mut PCA 5D),0.5515947467166981
200,0,GPR(LLR + z_pair PCA 5D),0.5401500938086304
200,0,GPR(LLR + z_pair PCA 10D),0.5682926829268293
200,1,GPR(LLR only),0.3455909943714822
200,1,GPR(LLR + s_mut PCA 5D),0.40938086303939974
200,1,GPR(LLR + z_pair PCA 5D),0.4444861396137084
200,1,GPR(LLR + z_pair PCA 10D),0.5037523452157598
200,2,GPR(LLR only),0.5375234521575986
200,2,GPR(LLR + s_mut PCA 5D),0.6056285178236398
200,2,GPR(LLR + z_pair PCA 5D),0.44183864915572235
200,2,GPR(LLR + z_pair PCA 10D),0.5433395872420262
200,3,GPR(LLR only),0.7285178236397749
200,3,GPR(LLR + s_mut PCA 5D),0.6737335834896812
200,3,GPR(LLR + z_pair PCA 5D),0.5714151701956728
200,3,GPR(LLR + z_pair PCA 10D),0.5178236397748593
200,4,GPR(LLR only),0.47917448405253293
200,4,GPR(LLR + s_mut PCA 5D),0.5170731707317073
200,4,GPR(LLR + z_pair PCA 5D),0.47729831144465296
200,4,GPR(LLR + z_pair PCA 10D),0.49568480300187623
200,5,GPR(LLR only),0.24915572232645408
200,5,GPR(LLR + s_mut PCA 5D),0.18273921200750473
200,5,GPR(LLR + z_pair PCA 5D),0.36435272045028144
200,5,GPR(LLR + z_pair PCA 10D),0.426641651031895
200,6,GPR(LLR only),0.5784240150093809
200,6,GPR(LLR + s_mut PCA 5D),0.551969981238274
200,6,GPR(LLR + z_pair PCA 5D),0.6834896810506568
200,6,GPR(LLR + z_pair PCA 10D),0.6848030018761727
200,7,GPR(LLR only),0.41782363977485937
200,7,GPR(LLR + s_mut PCA 5D),0.43733583489681055
200,7,GPR(LLR + z_pair PCA 5D),0.46960600375234535
200,7,GPR(LLR + z_pair PCA 10D),0.46397748592870547
