sample_size,seed,model,spearman
100,0,EvolvePro RF,0.1639097744360902
100,1,EvolvePro RF,0.1819548872180451
100,2,EvolvePro RF,0.1413533834586466
100,3,EvolvePro RF,0.5022556390977443
100,4,EvolvePro RF,0.5187969924812029
100,5,EvolvePro RF,0.33082706766917286
100,6,EvolvePro RF,0.5142857142857143
100,7,EvolvePro RF,0.4601503759398496
100,8,EvolvePro RF,0.33533834586466166
100,9,EvolvePro RF,0.3398496240601503
200,0,EvolvePro RF,0.4604127579737336
200,1,EvolvePro RF,0.5827392120075048
200,2,EvolvePro RF,0.47542213883677314
200,3,EvolvePro RF,0.45009380863039405
200,4,EvolvePro RF,0.4283302063789869
200,5,EvolvePro RF,0.327392120075047
200,6,EvolvePro RF,0.47579737335834904
200,7,EvolvePro RF,0.4904315196998124
200,8,EvolvePro RF,0.34052532833020643
200,9,EvolvePro RF,0.6416510318949344
400,0,EvolvePro RF,0.24116268166901084
400,1,EvolvePro RF,0.5151429910923583
400,2,EvolvePro RF,0.5250117205813408
400,3,EvolvePro RF,0.6228316924519456
400,4,EvolvePro RF,0.34777308954524144
400,5,EvolvePro RF,0.442780121894046
400,6,EvolvePro RF,0.5855602437880919
400,7,EvolvePro RF,0.5174402250351617
400,8,EvolvePro RF,0.5685888420065636
400,9,EvolvePro RF,0.2526722925457103
800,0,EvolvePro RF,0.5128940583616548
800,1,EvolvePro RF,0.5938181178952303
800,2,EvolvePro RF,0.55697585843197
800,3,EvolvePro RF,0.4911197703035275
800,4,EvolvePro RF,0.565618774170866
800,5,EvolvePro RF,0.49522149302707136
800,6,EvolvePro RF,0.5006826438532754
800,7,EvolvePro RF,0.5032579397632719
800,8,EvolvePro RF,0.5070637524903318
800,9,EvolvePro RF,0.5524698230399624
