sample_size,seed,model,spearman
100,0,GPR(LLR only),0.4120300751879699
100,0,GPR(LLR + s_mut PCA 5D),0.5353383458646617
100,0,GPR(LLR + z_pair PCA 5D),0.5789473684210527
100,0,GPR(LLR + z_pair PCA 10D),0.6015037593984961
100,1,GPR(LLR only),0.524812030075188
100,1,GPR(LLR + s_mut PCA 5D),0.31127819548872177
100,1,GPR(LLR + z_pair PCA 5D),0.4360902255639097
100,1,GPR(LLR + z_pair PCA 10D),0.437593984962406
100,2,GPR(LLR only),0.3699248120300751
100,2,GPR(LLR + s_mut PCA 5D),0.4947368421052631
100,2,GPR(LLR + z_pair PCA 5D),0.4616541353383458
100,2,GPR(LLR + z_pair PCA 10D),0.393984962406015
100,3,GPR(LLR only),0.793984962406015
100,3,GPR(LLR + s_mut PCA 5D),0.793984962406015
100,3,GPR(LLR + z_pair PCA 5D),0.813533834586466
100,3,GPR(LLR + z_pair PCA 10D),0.8691729323308269
100,4,GPR(LLR only),0.6902255639097743
100,4,GPR(LLR + s_mut PCA 5D),0.6796992481203006
100,4,GPR(LLR + z_pair PCA 5D),0.6781954887218045
100,4,GPR(LLR + z_pair PCA 10D),0.6932330827067669
100,5,GPR(LLR only),0.23609022556390977
100,5,GPR(LLR + s_mut PCA 5D),0.5278195488721804
100,5,GPR(LLR + z_pair PCA 5D),0.42556390977443603
100,5,GPR(LLR + z_pair PCA 10D),0.41654135338345866
100,6,GPR(LLR only),0.18045112781954886
100,6,GPR(LLR + s_mut PCA 5D),-0.030075187969924807
100,6,GPR(LLR + z_pair PCA 5D),-0.006015037593984962
100,6,GPR(LLR + z_pair PCA 10D),0.2300751879699248
100,7,GPR(LLR only),0.32631578947368417
100,7,GPR(LLR + s_mut PCA 5D),0.045112781954887216
100,7,GPR(LLR + z_pair PCA 5D),0.30977443609022554
100,7,GPR(LLR + z_pair PCA 10D),0.4661654135338345
100,8,GPR(LLR only),0.7353383458646616
100,8,GPR(LLR + s_mut PCA 5D),0.7293233082706766
100,8,GPR(LLR + z_pair PCA 5D),0.7774436090225564
100,8,GPR(LLR + z_pair PCA 10D),0.7278195488721804
100,9,GPR(LLR only),0.27518796992481204
100,9,GPR(LLR + s_mut PCA 5D),0.02706766917293233
100,9,GPR(LLR + z_pair PCA 5D),0.31729323308270674
100,9,GPR(LLR + z_pair PCA 10D),0.17744360902255638
200,0,GPR(LLR only),0.5544090056285179
200,0,GPR(LLR + s_mut PCA 5D),0.6303939962476548
200,0,GPR(LLR + z_pair PCA 5D),0.6424015009380865
200,0,GPR(LLR + z_pair PCA 10D),0.7076923076923078
200,1,GPR(LLR only),0.7041275797373359
200,1,GPR(LLR + s_mut PCA 5D),0.5838649155722327
200,1,GPR(LLR + z_pair PCA 5D),0.6664165103189494
200,1,GPR(LLR + z_pair PCA 10D),0.6472795497185742
200,2,GPR(LLR only),0.5947467166979363
200,2,GPR(LLR + s_mut PCA 5D),0.5080675422138837
200,2,GPR(LLR + z_pair PCA 5D),0.5714821763602252
200,2,GPR(LLR + z_pair PCA 10D),0.6742964352720451
200,3,GPR(LLR only),0.6452157598499063
200,3,GPR(LLR + s_mut PCA 5D),0.6294559099437149
200,3,GPR(LLR + z_pair PCA 5D),0.6382739212007505
200,3,GPR(LLR + z_pair PCA 10D),0.752720450281426
200,4,GPR(LLR only),0.3969981238273922
200,4,GPR(LLR + s_mut PCA 5D),0.5069418386491559
200,4,GPR(LLR + z_pair PCA 5D),0.5943714821763603
200,4,GPR(LLR + z_pair PCA 10D),0.7005628517823641
200,5,GPR(LLR only),0.41088180112570366
200,5,GPR(LLR + s_mut PCA 5D),0.3675422138836773
200,5,GPR(LLR + z_pair PCA 5D),0.41200750469043157
200,5,GPR(LLR + z_pair PCA 10D),0.31669793621013137
200,6,GPR(LLR only),0.47148217636022516
200,6,GPR(LLR + s_mut PCA 5D),0.527392120075047
200,6,GPR(LLR + z_pair PCA 5D),0.5433395872420262
200,6,GPR(LLR + z_pair PCA 10D),0.5855534709193246
200,7,GPR(LLR only),0.5621013133208256
200,7,GPR(LLR + s_mut PCA 5D),0.4857410881801127
200,7,GPR(LLR + z_pair PCA 5D),0.5602251407129456
200,7,GPR(LLR + z_pair PCA 10D),0.44296435272045026
200,8,GPR(LLR only),0.49455909943714826
200,8,GPR(LLR + s_mut PCA 5D),0.47729831144465296
200,8,GPR(LLR + z_pair PCA 5D),0.5155722326454034
200,8,GPR(LLR + z_pair PCA 10D),0.60187617260788
200,9,GPR(LLR only),0.5422138836772984
200,9,GPR(LLR + s_mut PCA 5D),0.5212007504690432
200,9,GPR(LLR + z_pair PCA 5D),0.5724202626641651
200,9,GPR(LLR + z_pair PCA 10D),0.6574108818011258
400,0,GPR(LLR only),0.49950773558368494
400,0,GPR(LLR + s_mut PCA 5D),0.49962494139709324
400,0,GPR(LLR + z_pair PCA 5D),0.5329113924050634
400,0,GPR(LLR + z_pair PCA 10D),0.48077824660103147
400,1,GPR(LLR only),0.5966244725738398
400,1,GPR(LLR + s_mut PCA 5D),0.5570089076418191
400,1,GPR(LLR + z_pair PCA 5D),0.6483591186122832
400,1,GPR(LLR + z_pair PCA 10D),0.6628223159868729
400,2,GPR(LLR only),0.6283169245194562
400,2,GPR(LLR + s_mut PCA 5D),0.5713548992030005
400,2,GPR(LLR + z_pair PCA 5D),0.6184716361931553
400,2,GPR(LLR + z_pair PCA 10D),0.542358180965776
400,3,GPR(LLR only),0.527684013127051
400,3,GPR(LLR + s_mut PCA 5D),0.5241678387248008
400,3,GPR(LLR + z_pair PCA 5D),0.5202297233942803
400,3,GPR(LLR + z_pair PCA 10D),0.5621425222691047
400,4,GPR(LLR only),0.5027894983591186
400,4,GPR(LLR + s_mut PCA 5D),0.4610407876230661
400,4,GPR(LLR + z_pair PCA 5D),0.5656821378340366
400,4,GPR(LLR + z_pair PCA 10D),0.5953352086263479
400,5,GPR(LLR only),0.5481012658227848
400,5,GPR(LLR + s_mut PCA 5D),0.5435302390998593
400,5,GPR(LLR + z_pair PCA 5D),0.5709095171120487
400,5,GPR(LLR + z_pair PCA 10D),0.6453820909517112
400,6,GPR(LLR only),0.462681669010783
400,6,GPR(LLR + s_mut PCA 5D),0.5477496483825598
400,6,GPR(LLR + z_pair PCA 5D),0.5541490857946555
400,6,GPR(LLR + z_pair PCA 10D),0.6958977965307079
400,7,GPR(LLR only),0.5500703234880451
400,7,GPR(LLR + s_mut PCA 5D),0.5413970932958275
400,7,GPR(LLR + z_pair PCA 5D),0.5537740271917487
400,7,GPR(LLR + z_pair PCA 10D),0.6826769807782467
400,8,GPR(LLR only),0.5212376933895921
400,8,GPR(LLR + s_mut PCA 5D),0.5308251289263949
400,8,GPR(LLR + z_pair PCA 5D),0.5410689170182842
400,8,GPR(LLR + z_pair PCA 10D),0.6063525550867324
400,9,GPR(LLR only),0.5680496952648851
400,9,GPR(LLR + s_mut PCA 5D),0.596530707923113
400,9,GPR(LLR + z_pair PCA 5D),0.5878105954055322
400,9,GPR(LLR + z_pair PCA 10D),0.5643694327238631
800,0,GPR(LLR only),0.6214315012305167
800,0,GPR(LLR + s_mut PCA 5D),0.6383100902378999
800,0,GPR(LLR + z_pair PCA 5D),0.677926872143443
800,0,GPR(LLR + z_pair PCA 10D),0.6635474041954764
800,1,GPR(LLR only),0.5535655689675377
800,1,GPR(LLR + s_mut PCA 5D),0.5860072659088245
800,1,GPR(LLR + z_pair PCA 5D),0.558197585843197
800,1,GPR(LLR + z_pair PCA 10D),0.6459920309387086
800,2,GPR(LLR only),0.5482157506152584
800,2,GPR(LLR + s_mut PCA 5D),0.5371996953005976
800,2,GPR(LLR + z_pair PCA 5D),0.5605707254189617
800,2,GPR(LLR + z_pair PCA 10D),0.6055109574592757
800,3,GPR(LLR only),0.6311408648775343
800,3,GPR(LLR + s_mut PCA 5D),0.6325676784249384
800,3,GPR(LLR + z_pair PCA 5D),0.6526514707605766
800,3,GPR(LLR + z_pair PCA 10D),0.6989950779327317
