sample_size,seed,model,spearman
100,0,EvolvePro RF,0.30977443609022554
100,1,EvolvePro RF,0.5428571428571428
100,2,EvolvePro RF,0.20902255639097742
100,3,EvolvePro RF,0.6240601503759398
100,4,EvolvePro RF,0.013533834586466165
100,5,EvolvePro RF,0.3699248120300751
100,6,EvolvePro RF,0.18045112781954886
100,7,EvolvePro RF,0.38496240601503756
100,8,EvolvePro RF,0.6360902255639098
100,9,EvolvePro RF,0.6165413533834586
200,0,EvolvePro RF,0.6879924953095686
200,1,EvolvePro RF,0.5960600375234523
200,2,EvolvePro RF,0.5043151969981239
200,3,EvolvePro RF,0.47560975609756106
200,4,EvolvePro RF,0.37448405253283307
200,5,EvolvePro RF,0.6371482176360226
200,6,EvolvePro RF,0.5414634146341465
200,7,EvolvePro RF,0.677485928705441
200,8,EvolvePro RF,0.2157598499061914
200,9,EvolvePro RF,0.5863039399624767
400,0,EvolvePro RF,0.47651195499296767
400,1,EvolvePro RF,0.6503516174402251
400,2,EvolvePro RF,0.6857946554149086
400,3,EvolvePro RF,0.5934599156118143
400,4,EvolvePro RF,0.5786919831223629
400,5,EvolvePro RF,0.5360056258790437
400,6,EvolvePro RF,0.6681942580650256
400,7,EvolvePro RF,0.6496015002344117
400,8,EvolvePro RF,0.551843365242512
400,9,EvolvePro RF,0.7009376465072668
800,0,EvolvePro RF,0.5884184929098794
800,1,EvolvePro RF,0.666404937310186
800,2,EvolvePro RF,0.6411983493478539
800,3,EvolvePro RF,0.6848001875073244
800,4,EvolvePro RF,0.7559328489394117
800,5,EvolvePro RF,0.6593026040832984
800,6,EvolvePro RF,0.5019190202742295
800,7,EvolvePro RF,0.6110414061889355
800,8,EvolvePro RF,0.7161344193132544
800,9,EvolvePro RF,0.576983475917028
