sample_size,seed,model,spearman
100,0,GPR(ESM2 LLR only),0.30075187969924805
100,0,GPR(ESM2 LLR + s_mut PCA 5D),0.46917293233082696
100,0,GPR(ESM2 LLR + z_pair PCA 5D),0.29172932330827067
100,0,GPR(ESM2 LLR + z_pair PCA 10D),0.17744360902255638
100,1,GPR(ESM2 LLR only),0.5699248120300752
100,1,GPR(ESM2 LLR + s_mut PCA 5D),0.7999999999999999
100,1,GPR(ESM2 LLR + z_pair PCA 5D),0.6210526315789473
100,1,GPR(ESM2 LLR + z_pair PCA 10D),0.5368421052631579
100,2,GPR(ESM2 LLR only),0.7278195488721804
100,2,GPR(ESM2 LLR + s_mut PCA 5D),0.5037593984962406
100,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6781954887218045
100,2,GPR(ESM2 LLR + z_pair PCA 10D),0.724812030075188
100,3,GPR(ESM2 LLR only),0.512781954887218
100,3,GPR(ESM2 LLR + s_mut PCA 5D),0.5624060150375939
100,3,GPR(ESM2 LLR + z_pair PCA 5D),0.3654135338345864
100,3,GPR(ESM2 LLR + z_pair PCA 10D),0.5578947368421052
100,4,GPR(ESM2 LLR only),0.6421052631578947
100,4,GPR(ESM2 LLR + s_mut PCA 5D),0.2601503759398496
100,4,GPR(ESM2 LLR + z_pair PCA 5D),0.5067669172932331
100,4,GPR(ESM2 LLR + z_pair PCA 10D),0.5639097744360902
100,5,GPR(ESM2 LLR only),0.6571428571428571
100,5,GPR(ESM2 LLR + s_mut PCA 5D),0.46917293233082696
100,5,GPR(ESM2 LLR + z_pair PCA 5D),0.5774436090225563
100,5,GPR(ESM2 LLR + z_pair PCA 10D),0.5097744360902255
100,6,GPR(ESM2 LLR only),0.556390977443609
100,6,GPR(ESM2 LLR + s_mut PCA 5D),0.5548872180451127
100,6,GPR(ESM2 LLR + z_pair PCA 5D),0.45563909774436084
100,6,GPR(ESM2 LLR + z_pair PCA 10D),0.5714285714285714
100,7,GPR(ESM2 LLR only),0.6496240601503759
100,7,GPR(ESM2 LLR + s_mut PCA 5D),0.42105263157894735
100,7,GPR(ESM2 LLR + z_pair PCA 5D),0.5503759398496241
100,7,GPR(ESM2 LLR + z_pair PCA 10D),0.5383458646616541
100,8,GPR(ESM2 LLR only),0.5097744360902255
100,8,GPR(ESM2 LLR + s_mut PCA 5D),0.7353383458646616
100,8,GPR(ESM2 LLR + z_pair PCA 5D),0.41654135338345866
100,8,GPR(ESM2 LLR + z_pair PCA 10D),0.4526315789473684
100,9,GPR(ESM2 LLR only),0.6721804511278194
100,9,GPR(ESM2 LLR + s_mut PCA 5D),0.6150375939849623
100,9,GPR(ESM2 LLR + z_pair PCA 5D),0.5924812030075187
100,9,GPR(ESM2 LLR + z_pair PCA 10D),0.5293233082706766
200,0,GPR(ESM2 LLR only),0.6579737335834898
200,0,GPR(ESM2 LLR + s_mut PCA 5D),0.5934333958724204
200,0,GPR(ESM2 LLR + z_pair PCA 5D),0.6793621013133209
200,0,GPR(ESM2 LLR + z_pair PCA 10D),0.6994371482176361
200,1,GPR(ESM2 LLR only),0.6975609756097563
200,1,GPR(ESM2 LLR + s_mut PCA 5D),0.7557223264540339
200,1,GPR(ESM2 LLR + z_pair PCA 5D),0.7243902439024391
200,1,GPR(ESM2 LLR + z_pair PCA 10D),0.7553470919324579
200,2,GPR(ESM2 LLR only),0.6559099437148219
200,2,GPR(ESM2 LLR + s_mut PCA 5D),0.6936210131332085
200,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6183864915572234
200,2,GPR(ESM2 LLR + z_pair PCA 10D),0.7176360225140715
200,3,GPR(ESM2 LLR only),0.5833020637898687
200,3,GPR(ESM2 LLR + s_mut PCA 5D),0.5688555347091934
200,3,GPR(ESM2 LLR + z_pair PCA 5D),0.6598499061913697
200,3,GPR(ESM2 LLR + z_pair PCA 10D),0.6797373358348969
200,4,GPR(ESM2 LLR only),0.7371482176360227
200,4,GPR(ESM2 LLR + s_mut PCA 5D),0.6606003752345218
200,4,GPR(ESM2 LLR + z_pair PCA 5D),0.7367729831144466
200,4,GPR(ESM2 LLR + z_pair PCA 10D),0.7174484052532834
200,5,GPR(ESM2 LLR only),0.6523452157598499
200,5,GPR(ESM2 LLR + s_mut PCA 5D),0.5545966228893059
200,5,GPR(ESM2 LLR + z_pair PCA 5D),0.652157598499062
200,5,GPR(ESM2 LLR + z_pair PCA 10D),0.6849906191369607
200,6,GPR(ESM2 LLR only),0.7703564727954973
200,6,GPR(ESM2 LLR + s_mut PCA 5D),0.7692307692307693
200,6,GPR(ESM2 LLR + z_pair PCA 5D),0.7673545966228894
200,6,GPR(ESM2 LLR + z_pair PCA 10D),0.7562851782363977
200,7,GPR(ESM2 LLR only),0.6874296435272046
200,7,GPR(ESM2 LLR + s_mut PCA 5D),0.6806754221388369
200,7,GPR(ESM2 LLR + z_pair PCA 5D),0.6864915572232646
200,7,GPR(ESM2 LLR + z_pair PCA 10D),0.6821763602251408
200,8,GPR(ESM2 LLR only),0.47523452157598506
200,8,GPR(ESM2 LLR + s_mut PCA 5D),0.42757973733583493
200,8,GPR(ESM2 LLR + z_pair PCA 5D),0.46510318949343343
200,8,GPR(ESM2 LLR + z_pair PCA 10D),0.4547842401500939
200,9,GPR(ESM2 LLR only),0.726078799249531
200,9,GPR(ESM2 LLR + s_mut PCA 5D),0.6071294559099438
200,9,GPR(ESM2 LLR + z_pair PCA 5D),0.727204502814259
200,9,GPR(ESM2 LLR + z_pair PCA 10D),0.7030018761726079
400,0,GPR(ESM2 LLR only),0.6338490389123301
400,0,GPR(ESM2 LLR + s_mut PCA 5D),0.6340131270511018
400,0,GPR(ESM2 LLR + z_pair PCA 5D),0.659774964838256
400,0,GPR(ESM2 LLR + z_pair PCA 10D),0.6584622597280826
400,1,GPR(ESM2 LLR only),0.5872714486638537
400,1,GPR(ESM2 LLR + s_mut PCA 5D),0.5895686826066573
400,1,GPR(ESM2 LLR + z_pair PCA 5D),0.6341772151898734
400,1,GPR(ESM2 LLR + z_pair PCA 10D),0.6582512892639475
400,2,GPR(ESM2 LLR only),0.6424519456165025
400,2,GPR(ESM2 LLR + s_mut PCA 5D),0.6240975152367557
400,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6671354899203
400,2,GPR(ESM2 LLR + z_pair PCA 10D),0.6959212376933895
400,3,GPR(ESM2 LLR only),0.6754805438349742
400,3,GPR(ESM2 LLR + s_mut PCA 5D),0.6846929207688701
400,3,GPR(ESM2 LLR + z_pair PCA 5D),0.6697374589779653
400,3,GPR(ESM2 LLR + z_pair PCA 10D),0.7296296296296297
400,4,GPR(ESM2 LLR only),0.6056962025316456
400,4,GPR(ESM2 LLR + s_mut PCA 5D),0.7109235818096579
400,4,GPR(ESM2 LLR + z_pair PCA 5D),0.6286451007969996
400,4,GPR(ESM2 LLR + z_pair PCA 10D),0.6255039849976559
400,5,GPR(ESM2 LLR only),0.6301922175339898
400,5,GPR(ESM2 LLR + s_mut PCA 5D),0.6327004219409283
400,5,GPR(ESM2 LLR + z_pair PCA 5D),0.6526019690576653
400,5,GPR(ESM2 LLR + z_pair PCA 10D),0.6052977027660572
400,6,GPR(ESM2 LLR only),0.6525823522284598
400,6,GPR(ESM2 LLR + s_mut PCA 5D),0.6052074848174999
400,6,GPR(ESM2 LLR + z_pair PCA 5D),0.6466868652646517
400,6,GPR(ESM2 LLR + z_pair PCA 10D),0.7525829382626784
400,7,GPR(ESM2 LLR only),0.6996952648851383
400,7,GPR(ESM2 LLR + s_mut PCA 5D),0.7015002344116269
400,7,GPR(ESM2 LLR + z_pair PCA 5D),0.7078996718237225
400,7,GPR(ESM2 LLR + z_pair PCA 10D),0.6946788560712611
400,8,GPR(ESM2 LLR only),0.6814034306459638
400,8,GPR(ESM2 LLR + s_mut PCA 5D),0.6577277175905112
400,8,GPR(ESM2 LLR + z_pair PCA 5D),0.7002736771901612
400,8,GPR(ESM2 LLR + z_pair PCA 10D),0.6880373185615015
400,9,GPR(ESM2 LLR only),0.6774261603375529
400,9,GPR(ESM2 LLR + s_mut PCA 5D),0.6808251289263948
400,9,GPR(ESM2 LLR + z_pair PCA 5D),0.7105485232067511
400,9,GPR(ESM2 LLR + z_pair PCA 10D),0.7329348335677449
800,0,GPR(ESM2 LLR only),0.657254189616782
800,0,GPR(ESM2 LLR + s_mut PCA 5D),0.7026602601664128
800,0,GPR(ESM2 LLR + z_pair PCA 5D),0.6880493378647604
800,0,GPR(ESM2 LLR + z_pair PCA 10D),0.7305314660728935
800,1,GPR(ESM2 LLR only),0.6553698221175174
800,1,GPR(ESM2 LLR + s_mut PCA 5D),0.6819768574612636
800,1,GPR(ESM2 LLR + z_pair PCA 5D),0.6580154371497701
800,1,GPR(ESM2 LLR + z_pair PCA 10D),0.7047678201809685
800,2,GPR(ESM2 LLR only),0.6500419694750463
800,2,GPR(ESM2 LLR + s_mut PCA 5D),0.7045143919414449
800,2,GPR(ESM2 LLR + z_pair PCA 5D),0.682551099483768
800,2,GPR(ESM2 LLR + z_pair PCA 10D),0.7271310311900324
800,3,GPR(ESM2 LLR only),0.636666471346537
800,3,GPR(ESM2 LLR + s_mut PCA 5D),0.629412281729755
800,3,GPR(ESM2 LLR + z_pair PCA 5D),0.6861801242236024
800,3,GPR(ESM2 LLR + z_pair PCA 10D),0.7300480487519044
800,4,GPR(ESM2 LLR only),0.6431354740419547
800,4,GPR(ESM2 LLR + s_mut PCA 5D),0.6828255009961326
800,4,GPR(ESM2 LLR + z_pair PCA 5D),0.662700691433259
