sample_size,seed,model,spearman
100,0,EvolvePro RF,0.6436090225563909
100,1,EvolvePro RF,0.31879699248120297
100,2,EvolvePro RF,0.8436090225563909
100,3,EvolvePro RF,0.5834586466165413
100,4,EvolvePro RF,0.5308270676691729
100,5,EvolvePro RF,0.30977443609022554
100,6,EvolvePro RF,0.29774436090225564
100,7,EvolvePro RF,0.437593984962406
100,8,EvolvePro RF,0.3654135338345864
100,9,EvolvePro RF,0.4270676691729323
200,0,EvolvePro RF,0.7619136960600377
200,1,EvolvePro RF,0.7444652908067543
200,2,EvolvePro RF,0.7000000000000001
200,3,EvolvePro RF,0.6082551594746718
200,4,EvolvePro RF,0.8097560975609757
200,5,EvolvePro RF,0.7090056285178238
200,6,EvolvePro RF,0.6322701688555348
200,7,EvolvePro RF,0.5560975609756098
200,8,EvolvePro RF,0.6474671669793622
200,9,EvolvePro RF,0.5277673545966229
400,0,EvolvePro RF,0.813806844819503
400,1,EvolvePro RF,0.7446319737458978
400,2,EvolvePro RF,0.7163384903891232
400,3,EvolvePro RF,0.7483825597749649
400,4,EvolvePro RF,0.7166666666666667
400,5,EvolvePro RF,0.7413736521331459
400,6,EvolvePro RF,0.8172526957337084
400,7,EvolvePro RF,0.7303563056727613
400,8,EvolvePro RF,0.6668073136427567
400,9,EvolvePro RF,0.7865916549460853
800,0,EvolvePro RF,0.6623666940114847
800,1,EvolvePro RF,0.7326145552560647
800,2,EvolvePro RF,0.7875483417320988
800,3,EvolvePro RF,0.7425026368217508
800,4,EvolvePro RF,0.7168492909879293
800,5,EvolvePro RF,0.8013682175084964
800,6,EvolvePro RF,0.7354799015586546
800,7,EvolvePro RF,0.7659967186218212
800,8,EvolvePro RF,0.7385532637993671
800,9,EvolvePro RF,0.7765645142388374
