sample_size,seed,model,spearman
100,0,GPR(LLR only),0.675187969924812
100,0,GPR(LLR + s_mut PCA 5D),0.6766917293233082
100,0,GPR(LLR + z_pair PCA 5D),0.6781954887218045
100,0,GPR(LLR + z_pair PCA 10D),0.7864661654135338
100,1,GPR(LLR only),0.5082706766917292
100,1,GPR(LLR + s_mut PCA 5D),0.3157894736842105
100,1,GPR(LLR + z_pair PCA 5D),0.5278195488721804
100,1,GPR(LLR + z_pair PCA 10D),0.4120300751879699
100,2,GPR(LLR only),0.8781954887218045
100,2,GPR(LLR + s_mut PCA 5D),0.9082706766917292
100,2,GPR(LLR + z_pair PCA 5D),0.863157894736842
100,2,GPR(LLR + z_pair PCA 10D),0.8436090225563909
100,3,GPR(LLR only),0.7293233082706766
100,3,GPR(LLR + s_mut PCA 5D),0.5022556390977443
100,3,GPR(LLR + z_pair PCA 5D),0.7578947368421052
100,3,GPR(LLR + z_pair PCA 10D),0.8105263157894737
100,4,GPR(LLR only),0.6225563909774435
100,4,GPR(LLR + s_mut PCA 5D),0.6721804511278194
100,4,GPR(LLR + z_pair PCA 5D),0.6150375939849623
100,4,GPR(LLR + z_pair PCA 10D),0.6210526315789473
100,5,GPR(LLR only),0.45112781954887216
100,5,GPR(LLR + s_mut PCA 5D),0.31127819548872177
100,5,GPR(LLR + z_pair PCA 5D),0.4631578947368421
100,5,GPR(LLR + z_pair PCA 10D),0.4451127819548871
100,6,GPR(LLR only),0.6030075187969924
100,6,GPR(LLR + s_mut PCA 5D),0.6180451127819548
100,6,GPR(LLR + z_pair PCA 5D),0.6827067669172932
100,6,GPR(LLR + z_pair PCA 10D),0.6180451127819548
100,7,GPR(LLR only),0.6165413533834586
100,7,GPR(LLR + s_mut PCA 5D),0.5834586466165413
100,7,GPR(LLR + z_pair PCA 5D),0.5894736842105263
100,7,GPR(LLR + z_pair PCA 10D),0.6375939849624059
100,8,GPR(LLR only),0.8240601503759398
100,8,GPR(LLR + s_mut PCA 5D),0.7624060150375939
100,8,GPR(LLR + z_pair PCA 5D),0.7443609022556391
100,8,GPR(LLR + z_pair PCA 10D),0.6736842105263157
100,9,GPR(LLR only),0.7218045112781954
100,9,GPR(LLR + s_mut PCA 5D),0.6812030075187969
100,9,GPR(LLR + z_pair PCA 5D),0.6661654135338345
100,9,GPR(LLR + z_pair PCA 10D),0.5969924812030075
200,0,GPR(LLR only),0.6583489681050658
200,0,GPR(LLR + s_mut PCA 5D),0.6930581613508443
