sample_size,seed,model,spearman
100,0,EvolvePro RF,0.4872180451127819
100,1,EvolvePro RF,0.5578947368421052
100,2,EvolvePro RF,0.5263157894736841
100,3,EvolvePro RF,0.5067669172932331
100,4,EvolvePro RF,0.28421052631578947
100,5,EvolvePro RF,0.23759398496240602
100,6,EvolvePro RF,0.6661654135338345
100,7,EvolvePro RF,0.6917293233082705
100,8,EvolvePro RF,0.7744360902255639
100,9,EvolvePro RF,0.6676691729323309
200,0,EvolvePro RF,0.6052532833020638
200,1,EvolvePro RF,0.525515947467167
200,2,EvolvePro RF,0.677110694183865
200,3,EvolvePro RF,0.6666041275797374
200,4,EvolvePro RF,0.7405253283302065
200,5,EvolvePro RF,0.5409005628517825
200,6,EvolvePro RF,0.6225140712945593
200,7,EvolvePro RF,0.3675422138836773
200,8,EvolvePro RF,0.6821763602251408
200,9,EvolvePro RF,0.6609756097560976
400,0,EvolvePro RF,0.6265822784810127
400,1,EvolvePro RF,0.6479371776840132
400,2,EvolvePro RF,0.6905297702766057
400,3,EvolvePro RF,0.5193858415377403
400,4,EvolvePro RF,0.48300515705578995
400,5,EvolvePro RF,0.5509376465072667
400,6,EvolvePro RF,0.5783872480075012
400,7,EvolvePro RF,0.6473511486169714
400,8,EvolvePro RF,0.6977027660571965
400,9,EvolvePro RF,0.6133614627285514
800,0,EvolvePro RF,0.6380991444978319
800,1,EvolvePro RF,0.6680651587952654
800,2,EvolvePro RF,0.683341146138521
800,3,EvolvePro RF,0.6559533575530294
800,4,EvolvePro RF,0.5911930153521622
800,5,EvolvePro RF,0.7081682878237431
800,6,EvolvePro RF,0.662979022618071
800,7,EvolvePro RF,0.6236698699167936
800,8,EvolvePro RF,0.6236464315012304
800,9,EvolvePro RF,0.6548693308332356
