sample_size,seed,model,spearman
100,0,GPR(LLR only),0.4030075187969925
100,0,GPR(LLR + s_mut PCA 5D),0.48872180451127817
100,0,GPR(LLR + z_pair PCA 5D),0.4451127819548871
100,0,GPR(LLR + z_pair PCA 10D),0.49022556390977434
100,1,GPR(LLR only),0.5789473684210527
100,1,GPR(LLR + s_mut PCA 5D),0.6496240601503759
100,1,GPR(LLR + z_pair PCA 5D),0.6105263157894737
100,1,GPR(LLR + z_pair PCA 10D),0.5804511278195488
100,2,GPR(LLR only),0.6631578947368421
100,2,GPR(LLR + s_mut PCA 5D),0.7428571428571428
100,2,GPR(LLR + z_pair PCA 5D),0.6646616541353383
100,2,GPR(LLR + z_pair PCA 10D),0.2992481203007519
100,3,GPR(LLR only),0.6992481203007518
100,3,GPR(LLR + s_mut PCA 5D),0.4781954887218045
100,3,GPR(LLR + z_pair PCA 5D),0.5924812030075187
100,3,GPR(LLR + z_pair PCA 10D),0.5112781954887218
100,4,GPR(LLR only),0.4827067669172932
100,4,GPR(LLR + s_mut PCA 5D),0.2706766917293233
100,4,GPR(LLR + z_pair PCA 5D),0.4195488721804511
100,4,GPR(LLR + z_pair PCA 10D),0.09323308270676692
100,5,GPR(LLR only),0.6586466165413534
100,5,GPR(LLR + s_mut PCA 5D),0.5789473684210527
100,5,GPR(LLR + z_pair PCA 5D),0.6481203007518795
100,5,GPR(LLR + z_pair PCA 10D),0.7684210526315788
100,6,GPR(LLR only),0.7443609022556391
100,6,GPR(LLR + s_mut PCA 5D),0.6721804511278194
100,6,GPR(LLR + z_pair PCA 5D),0.7533834586466165
100,6,GPR(LLR + z_pair PCA 10D),0.9097744360902256
100,7,GPR(LLR only),0.6436090225563909
100,7,GPR(LLR + s_mut PCA 5D),0.6436090225563909
100,7,GPR(LLR + z_pair PCA 5D),0.7293233082706766
100,7,GPR(LLR + z_pair PCA 10D),0.8421052631578947
100,8,GPR(LLR only),0.5909774436090225
100,8,GPR(LLR + s_mut PCA 5D),0.5413533834586466
100,8,GPR(LLR + z_pair PCA 5D),0.6
100,8,GPR(LLR + z_pair PCA 10D),0.6977443609022556
100,9,GPR(LLR only),0.625563909774436
100,9,GPR(LLR + s_mut PCA 5D),0.6857142857142857
100,9,GPR(LLR + z_pair PCA 5D),0.5984962406015037
100,9,GPR(LLR + z_pair PCA 10D),0.5157894736842105
200,0,GPR(LLR only),0.5651031894934334
200,0,GPR(LLR + s_mut PCA 5D),0.5157598499061915
200,0,GPR(LLR + z_pair PCA 5D),0.49737335834896823
200,0,GPR(LLR + z_pair PCA 10D),0.5457786116322703
200,1,GPR(LLR only),0.5439024390243903
200,1,GPR(LLR + s_mut PCA 5D),0.6365853658536587
200,1,GPR(LLR + z_pair PCA 5D),0.5099437148217637
200,1,GPR(LLR + z_pair PCA 10D),0.5793621013133209
200,2,GPR(LLR only),0.70187617260788
200,2,GPR(LLR + s_mut PCA 5D),0.7110694183864917
200,2,GPR(LLR + z_pair PCA 5D),0.7328330206378987
200,2,GPR(LLR + z_pair PCA 10D),0.7176360225140715
200,3,GPR(LLR only),0.6499061913696061
