sample_size,seed,model,spearman
100,0,EvolvePro RF,0.7684210526315788
100,1,EvolvePro RF,0.5082706766917292
100,2,EvolvePro RF,0.5894736842105263
100,3,EvolvePro RF,0.4812030075187969
100,4,EvolvePro RF,0.6180451127819548
100,5,EvolvePro RF,0.23609022556390977
100,6,EvolvePro RF,0.3654135338345864
100,7,EvolvePro RF,0.5639097744360902
100,8,EvolvePro RF,0.43909774436090226
100,9,EvolvePro RF,0.6045112781954887
200,0,EvolvePro RF,0.5823639774859288
200,1,EvolvePro RF,0.6470919324577862
200,2,EvolvePro RF,0.5388367729831145
200,3,EvolvePro RF,0.49193245778611633
200,4,EvolvePro RF,0.5232645403377112
200,5,EvolvePro RF,0.5240150093808631
200,6,EvolvePro RF,0.6996247654784241
200,7,EvolvePro RF,0.3969981238273922
200,8,EvolvePro RF,0.6052532833020638
200,9,EvolvePro RF,0.549155722326454
400,0,EvolvePro RF,0.5873183309892172
400,1,EvolvePro RF,0.7206751054852321
400,2,EvolvePro RF,0.7093337396613814
400,3,EvolvePro RF,0.46134552273792784
400,4,EvolvePro RF,0.5765588373183311
400,5,EvolvePro RF,0.6616268166901079
400,6,EvolvePro RF,0.6612517580872012
400,7,EvolvePro RF,0.6463704077139104
400,8,EvolvePro RF,0.6479606188466949
400,9,EvolvePro RF,0.7194327238631036
800,0,EvolvePro RF,0.657146728085625
800,1,EvolvePro RF,0.6028180463351848
800,2,EvolvePro RF,0.6258444415475062
800,3,EvolvePro RF,0.7585151063541524
800,4,EvolvePro RF,0.6680531093347784
800,5,EvolvePro RF,0.6100257417694077
800,6,EvolvePro RF,0.5267849884839451
800,7,EvolvePro RF,0.6311350615356928
800,8,EvolvePro RF,0.6029874000812896
800,9,EvolvePro RF,0.6478751113541815
