sample_size,seed,model,spearman
100,0,GPR(ESM2 LLR only),0.34586466165413526
100,0,GPR(ESM2 LLR + s_mut PCA 5D),-0.03458646616541353
100,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4496240601503759
100,0,GPR(ESM2 LLR + z_pair PCA 10D),0.6195488721804511
100,1,GPR(ESM2 LLR only),-0.1245485228952827
100,1,GPR(ESM2 LLR + s_mut PCA 5D),
100,1,GPR(ESM2 LLR + z_pair PCA 5D),0.4992481203007519
100,1,GPR(ESM2 LLR + z_pair PCA 10D),0.5142857142857143
100,2,GPR(ESM2 LLR only),-0.21882153700534204
100,2,GPR(ESM2 LLR + s_mut PCA 5D),
100,2,GPR(ESM2 LLR + z_pair PCA 5D),
100,2,GPR(ESM2 LLR + z_pair PCA 10D),0.43909774436090226
100,3,GPR(ESM2 LLR only),0.34091887407500365
100,3,GPR(ESM2 LLR + s_mut PCA 5D),-0.32265526478874257
100,3,GPR(ESM2 LLR + z_pair PCA 5D),0.2827067669172932
100,3,GPR(ESM2 LLR + z_pair PCA 10D),0.5263157894736841
100,4,GPR(ESM2 LLR only),0.40751879699248117
100,4,GPR(ESM2 LLR + s_mut PCA 5D),
100,4,GPR(ESM2 LLR + z_pair PCA 5D),0.3233082706766917
100,4,GPR(ESM2 LLR + z_pair PCA 10D),0.19248120300751878
100,5,GPR(ESM2 LLR only),
100,5,GPR(ESM2 LLR + s_mut PCA 5D),
100,5,GPR(ESM2 LLR + z_pair PCA 5D),-0.21052631578947367
100,5,GPR(ESM2 LLR + z_pair PCA 10D),0.4812030075187969
100,6,GPR(ESM2 LLR only),0.05562399219367792
100,6,GPR(ESM2 LLR + s_mut PCA 5D),
100,6,GPR(ESM2 LLR + z_pair PCA 5D),
100,6,GPR(ESM2 LLR + z_pair PCA 10D),0.20902255639097742
100,7,GPR(ESM2 LLR only),-0.13710212427677046
100,7,GPR(ESM2 LLR + s_mut PCA 5D),
100,7,GPR(ESM2 LLR + z_pair PCA 5D),0.4300751879699248
100,7,GPR(ESM2 LLR + z_pair PCA 10D),0.05263157894736842
100,8,GPR(ESM2 LLR only),0.13984962406015036
100,8,GPR(ESM2 LLR + s_mut PCA 5D),0.21804511278195485
100,8,GPR(ESM2 LLR + z_pair PCA 5D),0.4526315789473684
100,8,GPR(ESM2 LLR + z_pair PCA 10D),0.6120300751879698
100,9,GPR(ESM2 LLR only),0.1392500690033995
100,9,GPR(ESM2 LLR + s_mut PCA 5D),
100,9,GPR(ESM2 LLR + z_pair PCA 5D),0.4120300751879699
100,9,GPR(ESM2 LLR + z_pair PCA 10D),-0.004511278195488721
200,0,GPR(ESM2 LLR only),0.21257035647279554
200,0,GPR(ESM2 LLR + s_mut PCA 5D),
200,0,GPR(ESM2 LLR + z_pair PCA 5D),0.3566604127579738
200,0,GPR(ESM2 LLR + z_pair PCA 10D),0.3288930581613509
200,1,GPR(ESM2 LLR only),-0.03315502733250865
200,1,GPR(ESM2 LLR + s_mut PCA 5D),
200,1,GPR(ESM2 LLR + z_pair PCA 5D),0.3592870544090057
200,1,GPR(ESM2 LLR + z_pair PCA 10D),0.5084427767354598
200,2,GPR(ESM2 LLR only),0.3660412757973734
200,2,GPR(ESM2 LLR + s_mut PCA 5D),0.2437148217636023
200,2,GPR(ESM2 LLR + z_pair PCA 5D),0.49512195121951236
200,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5101313320825517
200,3,GPR(ESM2 LLR only),0.35553470919324587
200,3,GPR(ESM2 LLR + s_mut PCA 5D),-0.19230769230769232
200,3,GPR(ESM2 LLR + z_pair PCA 5D),0.4138836772983115
200,3,GPR(ESM2 LLR + z_pair PCA 10D),0.2853658536585366
200,4,GPR(ESM2 LLR only),0.19212007504690432
200,4,GPR(ESM2 LLR + s_mut PCA 5D),
200,4,GPR(ESM2 LLR + z_pair PCA 5D),0.41500938086303946
200,4,GPR(ESM2 LLR + z_pair PCA 10D),0.46941838649155726
200,5,GPR(ESM2 LLR only),
200,5,GPR(ESM2 LLR + s_mut PCA 5D),
200,5,GPR(ESM2 LLR + z_pair PCA 5D),0.34821763602251415
200,5,GPR(ESM2 LLR + z_pair PCA 10D),0.48105065666041286
200,6,GPR(ESM2 LLR only),0.4296435272045029
200,6,GPR(ESM2 LLR + s_mut PCA 5D),0.2560975609756098
200,6,GPR(ESM2 LLR + z_pair PCA 5D),0.6347091932457787
200,6,GPR(ESM2 LLR + z_pair PCA 10D),0.6504690431519701
200,7,GPR(ESM2 LLR only),0.3637898686679175
200,7,GPR(ESM2 LLR + s_mut PCA 5D),0.2086303939962477
200,7,GPR(ESM2 LLR + z_pair PCA 5D),0.43771106941838656
200,7,GPR(ESM2 LLR + z_pair PCA 10D),0.5345215759849906
200,8,GPR(ESM2 LLR only),0.31669793621013137
200,8,GPR(ESM2 LLR + s_mut PCA 5D),0.14108818011257038
200,8,GPR(ESM2 LLR + z_pair PCA 5D),0.5191369606003753
200,8,GPR(ESM2 LLR + z_pair PCA 10D),0.6210131332082554
200,9,GPR(ESM2 LLR only),-0.132824042594824
200,9,GPR(ESM2 LLR + s_mut PCA 5D),
200,9,GPR(ESM2 LLR + z_pair PCA 5D),0.14315196998123828
200,9,GPR(ESM2 LLR + z_pair PCA 10D),0.326078799249531
400,0,GPR(ESM2 LLR only),0.13591186122831694
400,0,GPR(ESM2 LLR + s_mut PCA 5D),0.19650726676043134
400,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4120956399437412
