sample_size,seed,model,spearman
100,0,EvolvePro RF,0.47067669172932325
100,1,EvolvePro RF,0.31729323308270674
100,2,EvolvePro RF,0.27368421052631575
100,3,EvolvePro RF,0.4781954887218045
100,4,EvolvePro RF,0.2827067669172932
100,5,EvolvePro RF,0.4195488721804511
100,6,EvolvePro RF,0.306766917293233
100,7,EvolvePro RF,0.5428571428571428
100,8,EvolvePro RF,-0.12481203007518797
100,9,EvolvePro RF,0.3082706766917293
200,0,EvolvePro RF,0.6560975609756098
200,1,EvolvePro RF,0.34652908067542215
200,2,EvolvePro RF,0.5352720450281426
200,3,EvolvePro RF,0.403189493433396
200,4,EvolvePro RF,0.4816135084427768
200,5,EvolvePro RF,0.6178236397748594
200,6,EvolvePro RF,0.4121951219512196
200,7,EvolvePro RF,0.3934333958724203
200,8,EvolvePro RF,0.5859287054409007
200,9,EvolvePro RF,0.4210131332082552
400,0,EvolvePro RF,0.4693155180496953
400,1,EvolvePro RF,0.5193858415377403
400,2,EvolvePro RF,0.48300515705578995
400,3,EvolvePro RF,0.4953820909517112
400,4,EvolvePro RF,0.4016643225503985
400,5,EvolvePro RF,0.586826066572902
400,6,EvolvePro RF,0.3785513361462729
400,7,EvolvePro RF,0.48267698077824667
400,8,EvolvePro RF,0.5144163150492265
400,9,EvolvePro RF,0.4003047351148617
800,0,EvolvePro RF,0.6779971873901324
800,1,EvolvePro RF,0.5935280675026368
800,2,EvolvePro RF,0.6051242236024844
800,3,EvolvePro RF,0.6436364701746161
800,4,EvolvePro RF,0.5619565217391305
800,5,EvolvePro RF,0.5957224891597328
800,6,EvolvePro RF,0.598121996953006
800,7,EvolvePro RF,0.6201863354037268
800,8,EvolvePro RF,0.6077874135708425
800,9,EvolvePro RF,0.5280499238251495
