sample_size,seed,model,spearman
100,0,GPR(ESM2 LLR only),0.6045112781954887
100,0,GPR(ESM2 LLR + s_mut PCA 5D),0.5609022556390978
100,0,GPR(ESM2 LLR + z_pair PCA 5D),0.7157894736842104
100,0,GPR(ESM2 LLR + z_pair PCA 10D),0.7233082706766917
100,1,GPR(ESM2 LLR only),0.58796992481203
100,1,GPR(ESM2 LLR + s_mut PCA 5D),0.7157894736842104
100,1,GPR(ESM2 LLR + z_pair PCA 5D),0.5218045112781955
100,1,GPR(ESM2 LLR + z_pair PCA 10D),0.6721804511278194
100,2,GPR(ESM2 LLR only),0.3669172932330827
100,2,GPR(ESM2 LLR + s_mut PCA 5D),0.20751879699248119
100,2,GPR(ESM2 LLR + z_pair PCA 5D),0.5172932330827067
100,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5082706766917292
100,3,GPR(ESM2 LLR only),0.35187969924812035
100,3,GPR(ESM2 LLR + s_mut PCA 5D),0.16025211484507548
100,3,GPR(ESM2 LLR + z_pair PCA 5D),-0.10075187969924812
100,3,GPR(ESM2 LLR + z_pair PCA 10D),0.2857142857142857
100,4,GPR(ESM2 LLR only),0.2721804511278195
100,4,GPR(ESM2 LLR + s_mut PCA 5D),0.19097744360902258
100,4,GPR(ESM2 LLR + z_pair PCA 5D),0.29473684210526313
100,4,GPR(ESM2 LLR + z_pair PCA 10D),0.33233082706766914
100,5,GPR(ESM2 LLR only),0.49022556390977434
100,5,GPR(ESM2 LLR + s_mut PCA 5D),0.5699248120300752
100,5,GPR(ESM2 LLR + z_pair PCA 5D),0.7278195488721804
100,5,GPR(ESM2 LLR + z_pair PCA 10D),0.5398496240601504
100,6,GPR(ESM2 LLR only),0.5278195488721804
100,6,GPR(ESM2 LLR + s_mut PCA 5D),0.5172932330827067
100,6,GPR(ESM2 LLR + z_pair PCA 5D),0.6406015037593984
100,6,GPR(ESM2 LLR + z_pair PCA 10D),0.7849624060150376
100,7,GPR(ESM2 LLR only),0.5548872180451127
100,7,GPR(ESM2 LLR + s_mut PCA 5D),0.47368421052631576
100,7,GPR(ESM2 LLR + z_pair PCA 5D),0.625563909774436
100,7,GPR(ESM2 LLR + z_pair PCA 10D),0.5924812030075187
100,8,GPR(ESM2 LLR only),0.30977443609022554
100,8,GPR(ESM2 LLR + s_mut PCA 5D),0.31729323308270674
100,8,GPR(ESM2 LLR + z_pair PCA 5D),0.24962406015037594
100,8,GPR(ESM2 LLR + z_pair PCA 10D),0.23609022556390977
100,9,GPR(ESM2 LLR only),0.25112781954887214
100,9,GPR(ESM2 LLR + s_mut PCA 5D),0.3669172932330827
100,9,GPR(ESM2 LLR + z_pair PCA 5D),0.0631578947368421
100,9,GPR(ESM2 LLR + z_pair PCA 10D),0.14285714285714285
200,0,GPR(ESM2 LLR only),0.27129455909943717
200,0,GPR(ESM2 LLR + s_mut PCA 5D),0.226266416510319
200,0,GPR(ESM2 LLR + z_pair PCA 5D),0.4116322701688556
200,0,GPR(ESM2 LLR + z_pair PCA 10D),0.5859287054409007
200,1,GPR(ESM2 LLR only),0.2808630393996248
200,1,GPR(ESM2 LLR + s_mut PCA 5D),0.17917448405253283
200,1,GPR(ESM2 LLR + z_pair PCA 5D),0.24484052532833023
200,1,GPR(ESM2 LLR + z_pair PCA 10D),0.2898686679174485
200,2,GPR(ESM2 LLR only),0.5557223264540337
200,2,GPR(ESM2 LLR + s_mut PCA 5D),0.46941838649155726
200,2,GPR(ESM2 LLR + z_pair PCA 5D),0.6191369606003754
200,2,GPR(ESM2 LLR + z_pair PCA 10D),0.5938086303939962
200,3,GPR(ESM2 LLR only),0.703189493433396
200,3,GPR(ESM2 LLR + s_mut PCA 5D),0.6174484052532834
